YEAR,PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_MR,PCT_PTS_3PT,PCT_PTS_FSTBRK,PCT_PTS_FT,PCT_PTS_OFF_TOS,PCT_PTS_INTHEPT,PCT_2PTGFM_ASSTD,PCT_2PTGFM_UNASSTD,PCT_3PTGFM_ASSTD,PCT_3PTGFM_UNASSTD,PCT_FGM_ASSTD,PCT_FGM_UNASSTD
2018-2019,Aaron Gordon,ORL,23,78,40,38,33.8,66.8,33.2,56,9.3,29.1,12,14.8,13.7,46.7,50.4,49.6,84.3,15.7,59.1,40.9
2018-2019,Aaron Holiday,IND,22,50,31,19,12.9,51.5,48.5,42.2,12.9,43.9,15,13.9,16.3,29.3,38.7,61.3,79.1,20.9,55.2,44.8
2018-2019,Abdel Nader,OKC,25,61,38,23,11.4,53.5,46.5,49,1.7,39.8,18.7,11.2,20.3,47.3,49.2,50.8,96.9,3.1,65.9,34.1
2018-2019,Al Horford,BOS,33,68,41,27,29,71.9,28.1,67.9,20.1,23.7,5,8.4,11.5,47.8,75.2,24.8,100,0,79.8,20.2
2018-2019,Al-Farouq Aminu,POR,28,81,52,29,28.3,52.8,47.2,42.4,1.8,37.9,13.6,19.7,15.9,40.5,51.6,48.4,100,0,69.6,30.4
2018-2019,Alan Williams,BKN,26,5,1,4,5.1,92.3,7.7,88.9,11.1,0,0,11.1,0,77.8,75,25,0,0,75,25
2018-2019,Alec Burks,SAC,27,64,19,45,21.5,64.6,35.4,46.7,7.8,32.6,7.1,20.7,11.9,38.9,42,58,77,23,53.1,46.9
2018-2019,Alex Abrines,OKC,25,31,21,10,19,19.1,80.9,18.2,6.1,74.5,12.1,7.3,6.7,12.1,80,20,95.1,4.9,91.1,8.9
2018-2019,Alex Caruso,LAL,25,25,8,17,21.2,71.1,28.9,46.3,5.2,31.4,12.2,22.3,23.1,41,41.5,58.5,66.7,33.3,49.4,50.6
2018-2019,Alex Len,ATL,25,77,28,49,20.1,68.5,31.5,57.6,2.1,26,6.9,16.4,12.4,55.5,72,28,98.6,1.4,78.1,21.9
2018-2019,Alex Poythress,ATL,25,21,7,14,14.5,71.6,28.4,57.9,0,25.2,8.4,16.8,11.2,57.9,71,29,100,0,77.5,22.5
2018-2019,Alfonzo McKinnie,GSW,26,72,53,19,13.9,57.1,42.9,54.6,3.6,37.4,19.3,8,12.8,51,71.7,28.3,100,0,80.6,19.4
2018-2019,Alize Johnson,IND,23,14,9,5,4.6,87.5,12.5,46.2,0,23.1,0,30.8,15.4,46.2,0,100,100,0,25,75
2018-2019,Allen Crabbe,BKN,27,43,19,24,26.4,30.6,69.4,18.9,5.8,71.2,15,9.9,11.6,13.1,87.2,12.8,99,1,95.6,4.4
2018-2019,Allonzo Trier,NYK,23,64,13,51,22.8,74.5,25.5,51.8,13.5,22.4,13.8,25.8,15.5,38.3,26.7,73.3,63.5,36.5,34.9,65.1
2018-2019,Amile Jefferson,ORL,26,12,9,3,5.7,100,0,74.1,0,0,14.8,25.9,22.2,74.1,70,30,0,0,70,30
2018-2019,Amir Johnson,PHI,32,51,32,19,10.4,74.5,25.5,66.7,2,17.9,6.5,15.4,13.4,64.7,68.7,31.3,100,0,73.4,26.6
2018-2019,Andre Drummond,DET,25,79,40,39,33.5,96.4,3.6,81.2,1.3,1.1,7,17.7,18,79.9,57,43,80,20,57.2,42.8
2018-2019,Andre Iguodala,GSW,35,68,47,21,23.2,52.3,47.7,53,4.1,37,21.6,10,20.6,48.8,75.7,24.3,95.8,4.2,82.1,17.9
2018-2019,Andre Ingram,LAL,33,4,1,3,3.7,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,Andrew Bogut,GSW,34,11,8,3,12.2,100,0,92.3,5.1,0,0,7.7,5.1,87.2,61.1,38.9,0,0,61.1,38.9
2018-2019,Andrew Harrison,NOP,24,17,6,11,10.9,52.8,47.2,40.7,3.7,27.8,9.3,31.5,24.1,37,18.2,81.8,60,40,31.3,68.8
2018-2019,Andrew Wiggins,MIN,24,73,31,42,34.8,71.2,28.8,57.5,16.7,26.8,10.4,15.7,13,40.9,45,55,81.4,18.6,53.6,46.4
2018-2019,Anfernee Simons,POR,20,20,17,3,7,54,46,48,16,40,12,12,12,32,22.2,77.8,60,40,35.7,64.3
2018-2019,Angel Delgado,LAC,24,2,0,2,7.4,100,0,66.7,0,0,0,33.3,0,66.7,100,0,0,0,100,0
2018-2019,Ante Zizic,CLE,22,59,13,46,18.3,100,0,79.7,6.1,0,5,20.3,13.3,73.6,68.3,31.7,0,0,68.3,31.7
